Date,Open,High,Low,Close,Adj Close,Volume
2021-01-20,807.000000,831.950012,802.000000,824.500000,815.323120,4502291
2021-01-21,823.000000,835.000000,800.299988,808.250000,799.254028,4455107
2021-01-22,808.000000,826.700012,795.000000,798.400024,789.513672,5588252
2021-01-25,802.099976,812.950012,784.250000,794.549988,785.706482,3353172
2021-01-27,797.000000,817.000000,763.400024,769.950012,761.380310,6585102
2021-01-28,758.000000,778.099976,756.099976,765.000000,756.485413,4622634
2021-01-29,772.549988,799.950012,746.000000,749.599976,741.256775,8761073
2021-02-01,753.000000,808.849976,741.549988,795.150024,786.299805,6592083
2021-02-02,810.000000,837.400024,802.599976,816.849976,807.758240,5334431
2021-02-03,821.000000,858.900024,818.000000,833.200012,823.926331,8802838
2021-02-04,835.000000,893.549988,835.000000,866.500000,856.855652,14706560
2021-02-05,879.900024,881.700012,841.200012,865.500000,855.866821,15668083
2021-02-08,891.000000,952.049988,891.000000,928.400024,918.066711,21179625
2021-02-09,929.500000,939.000000,885.200012,895.000000,885.038452,9210613
2021-02-10,899.000000,917.000000,886.099976,914.150024,903.975342,6465767
2021-02-11,916.450012,920.049988,902.349976,914.200012,904.024780,3640848
2021-02-12,916.000000,918.549988,905.000000,908.549988,898.437622,2484145
2021-02-15,910.900024,920.000000,898.250000,911.849976,901.700867,4178613
2021-02-16,915.000000,921.750000,902.099976,912.200012,902.047058,4223635
2021-02-17,905.000000,920.150024,904.599976,914.950012,904.766418,3903522
2021-02-18,914.950012,914.950012,891.650024,894.450012,884.494568,4616205
2021-02-19,890.000000,905.650024,862.849976,879.250000,869.463745,5171996
2021-02-22,880.000000,882.500000,833.099976,837.099976,827.782898,5960870
2021-02-23,842.099976,856.950012,819.099976,840.950012,831.590088,7348084
2021-02-24,841.099976,855.900024,840.000000,849.599976,840.143738,3184114
2021-02-25,853.099976,866.599976,842.049988,859.000000,849.439148,6134649
2021-02-26,848.049988,856.650024,798.500000,806.400024,797.424622,12073749
2021-03-01,821.000000,852.700012,816.200012,819.450012,810.329346,9223619
2021-03-02,832.950012,868.000000,820.049988,860.049988,850.477478,9706013
2021-03-03,866.950012,868.000000,847.049988,852.049988,842.566467,5028771
2021-03-04,841.849976,858.299988,834.799988,845.250000,835.842163,4574138
2021-03-05,840.000000,860.750000,838.349976,840.400024,831.046204,5179108
2021-03-08,847.950012,857.349976,840.000000,851.000000,841.528198,3474579
2021-03-09,853.000000,865.700012,842.000000,852.000000,842.517029,3536262
2021-03-10,856.400024,875.000000,849.000000,863.799988,854.185730,3971353
2021-03-12,869.500000,876.200012,844.150024,855.799988,846.274780,4012449
2021-03-15,862.000000,862.000000,824.000000,844.400024,835.001648,3069303
